MAp,Ms2,Mx1,st,gX,epsilon,yf,Mx2,Densidad reliquia,loglikelihood,delta,alphad,alphaf,mass_relative
7.81977462296,95.6852260118,1.56395492459,0.0005,2.50662827463,1.23683930166e-05,0.0501325654926,1.72035041705,0.121,0.00046589421406,0.156395492459,0.5,0.0002,0.1
8.97167049377,50.1836198507,1.79433409875,0.0005,2.50662827463,1.41466842257e-05,0.0501325654926,1.97376750863,0.117,0.00421172825929,0.179433409875,0.5,0.0002,0.1
17.9473026777,288.807370892,3.58946053553,0.0005,2.50662827463,1.70770983079e-05,0.0501325654926,3.94840658908,0.122,0.00186146944398,0.358946053553,0.5,0.0002,0.1
254.27961536,3328.74685442,50.8559230719,0.0005,2.50662827463,0.00027064091351,0.0501325654926,55.9415153791,0.121,0.00046589421406,5.08559230719,0.5,0.0002,0.1
35.4665133052,199.500007186,7.09330266103,0.0005,2.50662827463,3.18447287593e-05,0.0501325654926,7.80263292713,0.121,0.00046589421406,0.709330266103,0.5,0.0002,0.1
35.6579965,610.208368913,7.1315993,0.0005,2.50662827463,3.24320899628e-05,0.0501325654926,7.84475923,0.119,0.00046693842483,0.71315993,0.5,0.0002,0.1
31.7977799109,9.09615806423,6.35955598218,0.0005,2.50662827463,6.92216913382e-06,0.0501325654926,6.99551158039,0.122,0.00186146944398,0.635955598218,0.5,0.0002,0.1
8.38709226883,307.29108084,1.67741845377,0.0005,2.50662827463,1.31201637395e-05,0.0501325654926,1.84516029914,0.121,0.00046589421406,0.167741845377,0.5,0.0002,0.1
8.02991251743,8070.82359285,1.60598250349,0.0005,2.50662827463,1.27112593989e-05,0.0501325654926,1.76658075384,0.12,0.0,0.160598250349,0.5,0.0002,0.1
131.416388353,195.018469118,26.2832776706,0.0005,2.50662827463,0.000131417811151,0.0501325654926,28.9116054376,0.122,0.00186146944398,2.62832776706,0.5,0.0002,0.1
16.827646495,25.0795442774,3.365529299,0.0005,2.50662827463,1.61334644631e-05,0.0501325654926,3.7020822289,0.123,0.00418353638979,0.3365529299,0.5,0.0002,0.1
10.272426839,8.76942173923,2.0544853678,0.0005,2.50662827463,1.53176999528e-05,0.0501325654926,2.25993390458,0.123,0.00418353638979,0.20544853678,0.5,0.0002,0.1
154.007677756,6675.79299822,30.8015355513,0.0005,2.50662827463,0.00015507862837,0.0501325654926,33.8816891064,0.123,0.00418353638979,3.08015355513,0.5,0.0002,0.1
80.595571186,25.7318748068,16.1191142372,0.0005,2.50662827463,7.86834807698e-05,0.0501325654926,17.7310256609,0.118,0.00186982292777,1.61191142372,0.5,0.0002,0.1
17.2026901553,4314.00449744,3.44053803105,0.0005,2.50662827463,1.64413185737e-05,0.0501325654926,3.78459183416,0.122,0.00186146944398,0.344053803105,0.5,0.0002,0.1
2478.66711518,575.706188692,495.733423036,0.0005,2.50662827463,1.12373650997e-06,0.0501325654926,545.30676534,0.121,0.00046589421406,49.5733423036,0.5,0.0002,0.1
33.838255394,656.528855188,6.7676510788,0.0005,2.50662827463,3.0043340492e-05,0.0501325654926,7.44441618668,0.123,0.00418353638979,0.67676510788,0.5,0.0002,0.1
79.6898685756,952.998905078,15.9379737151,0.0005,2.50662827463,7.62478449695e-05,0.0501325654926,17.5317710866,0.121,0.00046589421406,1.59379737151,0.5,0.0002,0.1
663.15158582,1777.17963128,132.630317164,0.0005,2.50662827463,0.000647320884467,0.0501325654926,145.89334888,0.119,0.00046693842483,13.2630317164,0.5,0.0002,0.1
6.95144063093,6439.99802356,1.39028812619,0.0005,2.50662827463,1.11149953295e-05,0.0501325654926,1.5293169388,0.122,0.00186146944398,0.139028812619,0.5,0.0002,0.1
144.715145634,39.0496762114,28.9430291268,0.0005,2.50662827463,3.66458621999e-06,0.0501325654926,31.8373320395,0.12,0.0,2.89430291268,0.5,0.0002,0.1
103.436406532,146.600082399,20.6872813063,0.0005,2.50662827463,0.000103232673213,0.0501325654926,22.756009437,0.118,0.00186982292777,2.06872813063,0.5,0.0002,0.1
643.09642028,348.026851255,128.619284056,0.0005,2.50662827463,0.000625206624488,0.0501325654926,141.481212462,0.12,0.0,12.8619284056,0.5,0.0002,0.1
67.5617096984,97.7920923799,13.5123419397,0.0005,2.50662827463,6.39058157796e-05,0.0501325654926,14.8635761336,0.121,0.00046589421406,1.35123419397,0.5,0.0002,0.1
51.4276989696,219.160761861,10.2855397939,0.0005,2.50662827463,4.80966255363e-05,0.0501325654926,11.3140937733,0.118,0.00186982292777,1.02855397939,0.5,0.0002,0.1
47.6682549454,208.872934872,9.53365098908,0.0005,2.50662827463,4.44834618354e-05,0.0501325654926,10.487016088,0.117,0.00421172825929,0.953365098908,0.5,0.0002,0.1
13.8066177564,4.03365587105,2.76132355129,0.0005,2.50662827463,3.80528653511e-06,0.0501325654926,3.03745590642,0.122,0.00186146944398,0.276132355129,0.5,0.0002,0.1
13.1511894308,631.875609695,2.63023788617,0.0005,2.50662827463,1.43289415187e-05,0.0501325654926,2.89326167479,0.118,0.00186982292777,0.263023788617,0.5,0.0002,0.1
971.549191359,240.180242761,194.309838272,0.0005,2.50662827463,0.000613141799446,0.0501325654926,213.740822099,0.123,0.00418353638979,19.4309838272,0.5,0.0002,0.1
10.7403407979,881.000251843,2.14806815958,0.0005,2.50662827463,1.60790316048e-05,0.0501325654926,2.36287497554,0.12,0.0,0.214806815958,0.5,0.0002,0.1
12.8771339211,856.48526897,2.57542678421,0.0005,2.50662827463,1.40588551552e-05,0.0501325654926,2.83296946264,0.122,0.00186146944398,0.257542678421,0.5,0.0002,0.1
