MAp,Ms2,Mx1,st,gX,epsilon,yf,Mx2,Densidad reliquia,loglikelihood,delta,alphad,alphaf,mass_relative
10.6680851745,2481.85642701,2.66702129362,0.0005,1.12099824328,1.779061129e-05,0.028024956082,2.93372342298,0.118,0.00186982292777,0.266702129362,0.1,6.25e-05,0.1
6.63599896242,5.39114589078,1.65899974061,0.0005,1.12099824328,1.63979427207e-05,0.028024956082,1.82489971467,0.117,0.00421172825929,0.165899974061,0.1,6.25e-05,0.1
4.78830412162,181.693042063,1.19707603041,0.0005,1.12099824328,1.22333683693e-05,0.028024956082,1.31678363345,0.119,0.00046693842483,0.119707603041,0.1,6.25e-05,0.1
21.3766637905,3965.62613392,5.34416594762,0.0005,1.12099824328,3.04813896435e-05,0.028024956082,5.87858254238,0.117,0.00421172825929,0.534416594762,0.1,6.25e-05,0.1
4.12247545095,1071.7859083,1.03061886274,0.0005,1.12099824328,1.06840735121e-05,0.028024956082,1.13368074901,0.117,0.00421172825929,0.103061886274,0.1,6.25e-05,0.1
1473.22868817,2.80439026513,368.307172043,0.0005,1.12099824328,0.000386276350087,0.028024956082,405.137889247,0.12,0.0,36.8307172043,0.1,6.25e-05,0.1
19.4279662749,382.756528938,4.85699156872,0.0005,1.12099824328,2.75771554347e-05,0.028024956082,5.3426907256,0.121,0.00046589421406,0.485699156872,0.1,6.25e-05,0.1
374.651413438,274.464540975,93.6628533596,0.0005,1.12099824328,0.000659738847903,0.028024956082,103.029138696,0.117,0.00421172825929,9.36628533596,0.1,6.25e-05,0.1
532.031673132,3027.42448939,133.007918283,0.0005,1.12099824328,0.000793064964654,0.028024956082,146.308710111,0.123,0.00418353638979,13.3007918283,0.1,6.25e-05,0.1
1488.76805157,17.8936586312,372.192012893,0.0005,1.12099824328,1.2784280324e-06,0.028024956082,409.411214183,0.121,0.00046589421406,37.2192012893,0.1,6.25e-05,0.1
1750.78101002,66.644964999,437.695252505,0.0005,1.12099824328,4.01847013074e-05,0.028024956082,481.464777756,0.121,0.00046589421406,43.7695252505,0.1,6.25e-05,0.1
20.6121845637,7.31731468676,5.15304614092,0.0005,1.12099824328,1.66990817475e-05,0.028024956082,5.66835075501,0.118,0.00186982292777,0.515304614092,0.1,6.25e-05,0.1
1448.66452937,10.6056667887,362.166132343,0.0005,1.12099824328,0.000128826286026,0.028024956082,398.382745577,0.117,0.00421172825929,36.2166132343,0.1,6.25e-05,0.1
13.2460785658,7.35587259686,3.31151964144,0.0005,1.12099824328,2.02347593184e-05,0.028024956082,3.64267160559,0.118,0.00186982292777,0.331151964144,0.1,6.25e-05,0.1
8.83256982215,3501.55156327,2.20814245554,0.0005,1.12099824328,2.04746739854e-05,0.028024956082,2.42895670109,0.118,0.00186982292777,0.220814245554,0.1,6.25e-05,0.1
419.569539935,3896.38194116,104.892384984,0.0005,1.12099824328,0.000652532665784,0.028024956082,115.381623482,0.122,0.00186146944398,10.4892384984,0.1,6.25e-05,0.1
2102.78694945,120.729302059,525.696737363,0.0005,1.12099824328,2.03422257425e-05,0.028024956082,578.2664111,0.119,0.00046693842483,52.5696737363,0.1,6.25e-05,0.1
1468.11120611,1.01389762575,367.027801528,0.0005,1.12099824328,0.000154962619568,0.028024956082,403.730581681,0.122,0.00186146944398,36.7027801528,0.1,6.25e-05,0.1
9.67417302764,285.150076344,2.41854325691,0.0005,1.12099824328,1.82377144035e-05,0.028024956082,2.6603975826,0.123,0.00418353638979,0.241854325691,0.1,6.25e-05,0.1
86.6126687103,72.5595649031,21.6531671776,0.0005,1.12099824328,0.000134678010829,0.028024956082,23.8184838953,0.118,0.00186982292777,2.16531671776,0.1,6.25e-05,0.1
1469.23360129,1.69421581229,367.308400323,0.0005,1.12099824328,2.5553939867e-06,0.028024956082,404.039240355,0.122,0.00186146944398,36.7308400323,0.1,6.25e-05,0.1
4.78778631006,10.3869876073,1.19694657752,0.0005,1.12099824328,1.20887222001e-05,0.028024956082,1.31664123527,0.121,0.00046589421406,0.119694657752,0.1,6.25e-05,0.1
4.02748915278,161.911563661,1.00687228819,0.0005,1.12099824328,1.01325557815e-05,0.028024956082,1.10755951701,0.123,0.00418353638979,0.100687228819,0.1,6.25e-05,0.1
8.65705851319,128.474960607,2.1642646283,0.0005,1.12099824328,2.03933424683e-05,0.028024956082,2.38069109113,0.117,0.00421172825929,0.21642646283,0.1,6.25e-05,0.1
1466.43679934,1.35783932128,366.609199834,0.0005,1.12099824328,5.34636332282e-05,0.028024956082,403.270119818,0.122,0.00186146944398,36.6609199834,0.1,6.25e-05,0.1
5.73432835755,422.716231315,1.43358208939,0.0005,1.12099824328,1.41517495683e-05,0.028024956082,1.57694029833,0.122,0.00186146944398,0.143358208939,0.1,6.25e-05,0.1
1466.53335173,4.29823969118,366.633337933,0.0005,1.12099824328,5.30823721677e-06,0.028024956082,403.296671726,0.122,0.00186146944398,36.6633337933,0.1,6.25e-05,0.1
1467.14877828,5.67581924442,366.78719457,0.0005,1.12099824328,3.72599158802e-05,0.028024956082,403.465914026,0.122,0.00186146944398,36.678719457,0.1,6.25e-05,0.1
1455.95928059,1.78629924319,363.989820147,0.0005,1.12099824328,2.62286838732e-06,0.028024956082,400.388802162,0.12,0.0,36.3989820147,0.1,6.25e-05,0.1
6.43164821077,4.16324095862,1.60791205269,0.0005,1.12099824328,1.56169072876e-05,0.028024956082,1.76870325796,0.122,0.00186146944398,0.160791205269,0.1,6.25e-05,0.1
200.598564413,2407.31193369,50.1496411032,0.0005,1.12099824328,0.000338846912785,0.028024956082,55.1646052135,0.117,0.00421172825929,5.01496411032,0.1,6.25e-05,0.1
