,MAp,mphi,Mchi1,angle,gX,epsilon,ff,Mchi2,Densidad_reliquia,loglikelihood,canales_aniquilacion
825,1.40207491063,0.00534692536436,0.467358303542,0.0005,2.50662827463,0.00024439859118,0.0083554275821,0.472,0.119,0.00046693842482991855,"[{'channel': '~chi1 ~chi2 ->u u~', 'contribution_percentage': 33}, {'channel': '~chi1 ~chi2 ->e- e+', 'contribution_percentage': 25}, {'channel': '~chi1 ~chi2 ->mu- mu+', 'contribution_percentage': 25}, {'channel': '~chi1 ~chi2 ->d d~', 'contribution_percentage': 8}, {'channel': '~chi1 ~chi2 ->s s~', 'contribution_percentage': 8}]"
826,0.113294164446,1.41909745786,0.0377647214819,0.0005,2.50662827463,2.22419417619e-05,0.0083554275821,0.038,0.122,0.0018614694439790809,"[{'channel': '~chi1 ~chi2 ->u u~', 'contribution_percentage': 50}, {'channel': '~chi1 ~chi2 ->e- e+', 'contribution_percentage': 38}, {'channel': '~chi1 ~chi2 ->d d~', 'contribution_percentage': 12}]"
827,0.678570931115,0.0344108604494,0.226190310372,0.0005,2.50662827463,0.00011489889484,0.0083554275821,0.228,0.117,0.004211728259292678,"[{'channel': '~chi1 ~chi2 ->u u~', 'contribution_percentage': 31}, {'channel': '~chi1 ~chi2 ->e- e+', 'contribution_percentage': 23}, {'channel': '~chi1 ~chi2 ->mu- mu+', 'contribution_percentage': 23}, {'channel': '~chi1 ~chi2 ->d d~', 'contribution_percentage': 8}, {'channel': '~chi1 ~chi2 ->s s~', 'contribution_percentage': 8}, {'channel': '~chi1 ~chi1 ->phi phi', 'contribution_percentage': 7}]"
828,0.0775638940715,0.155842624255,0.0258546313572,0.0005,2.50662827463,1.52635776731e-05,0.0083554275821,0.026,0.118,0.0018698229277687437,"[{'channel': '~chi1 ~chi2 ->u u~', 'contribution_percentage': 50}, {'channel': '~chi1 ~chi2 ->e- e+', 'contribution_percentage': 38}, {'channel': '~chi1 ~chi2 ->d d~', 'contribution_percentage': 12}]"
829,0.433917902942,0.0365934915385,0.144639300981,0.0005,2.50662827463,6.39508614051e-06,0.0083554275821,0.146,0.117,0.004211728259292678,"[{'channel': '~chi1 ~chi1 ->phi phi', 'contribution_percentage': 82}, {'channel': '~chi2 ~chi2 ->phi phi', 'contribution_percentage': 18}]"
830,0.874777474717,0.108582349139,0.291592491572,0.0005,2.50662827463,1.67246046489e-06,0.0083554275821,0.295,0.118,0.0018698229277687437,"[{'channel': '~chi1 ~chi1 ->phi phi', 'contribution_percentage': 76}, {'channel': '~chi2 ~chi2 ->phi phi', 'contribution_percentage': 24}]"
831,0.20954763622,4.36540347563,0.0698492120734,0.0005,2.50662827463,4.31665000622e-05,0.0083554275821,0.071,0.117,0.004211728259292678,"[{'channel': '~chi1 ~chi2 ->u u~', 'contribution_percentage': 50}, {'channel': '~chi1 ~chi2 ->e- e+', 'contribution_percentage': 38}, {'channel': '~chi1 ~chi2 ->d d~', 'contribution_percentage': 12}]"
832,0.0060662050434,0.0227438665766,0.0020220683478,0.0005,2.50662827463,2.0807463698e-06,0.0083554275821,0.002,0.118,0.0018698229277687437,"[{'channel': '~chi1 ~chi2 ->e- e+', 'contribution_percentage': 100}]"
833,0.0500656723191,0.298943625269,0.0166885574397,0.0005,2.50662827463,9.53693800987e-06,0.0083554275821,0.017,0.122,0.0018614694439790809,"[{'channel': '~chi1 ~chi2 ->u u~', 'contribution_percentage': 50}, {'channel': '~chi1 ~chi2 ->e- e+', 'contribution_percentage': 38}, {'channel': '~chi1 ~chi2 ->d d~', 'contribution_percentage': 12}]"
834,0.651796710263,1.2250801175,0.217265570088,0.0005,2.50662827463,0.000113748489418,0.0083554275821,0.219,0.118,0.0018698229277687437,"[{'channel': '~chi1 ~chi2 ->u u~', 'contribution_percentage': 34}, {'channel': '~chi1 ~chi2 ->e- e+', 'contribution_percentage': 25}, {'channel': '~chi1 ~chi2 ->mu- mu+', 'contribution_percentage': 25}, {'channel': '~chi1 ~chi2 ->d d~', 'contribution_percentage': 8}, {'channel': '~chi1 ~chi2 ->s s~', 'contribution_percentage': 8}]"
