MAp,Ms2,Mx1,st,gX,epsilon,yf,Mx2,Densidad reliquia,loglikelihood,delta,alphad,alphaf,mass_relative
138.169914461,36.9312314682,13.8169914461,0.0005,2.50662827463,0.000736803733873,0.0501325654926,16.5803897354,0.118,0.00186982292777,2.76339828923,0.5,0.0002,0.2
395.540127651,4325.85667244,39.5540127651,0.0005,2.50662827463,0.0024084290015,0.0501325654926,47.4648153181,0.123,0.00418353638979,7.91080255301,0.5,0.0002,0.2
376.336434649,793.092825083,37.6336434649,0.0005,2.50662827463,0.00228583823862,0.0501325654926,45.1603721579,0.122,0.00186146944398,7.52672869298,0.5,0.0002,0.2
513.662036118,73.3716139373,51.3662036118,0.0005,2.50662827463,0.00331100042754,0.0501325654926,61.6394443341,0.12,0.0,10.2732407224,0.5,0.0002,0.2
268.319150218,97.2026925059,26.8319150218,0.0005,2.50662827463,0.00156694046944,0.0501325654926,32.1982980261,0.12,0.0,5.36638300435,0.5,0.0002,0.2
118.133741017,6132.44707236,11.8133741017,0.0005,2.50662827463,0.000610883496963,0.0501325654926,14.176048922,0.119,0.00046693842483,2.36267482033,0.5,0.0002,0.2
181.453392782,6537.79987401,18.1453392782,0.0005,2.50662827463,0.000996660060621,0.0501325654926,21.7744071339,0.12,0.0,3.62906785565,0.5,0.0002,0.2
117.437943041,6427.92262331,11.7437943041,0.0005,2.50662827463,0.000600319462511,0.0501325654926,14.0925531649,0.121,0.00046589421406,2.34875886082,0.5,0.0002,0.2
232.161286763,151.041711381,23.2161286763,0.0005,2.50662827463,0.00132352241176,0.0501325654926,27.8593544116,0.12,0.0,4.64322573527,0.5,0.0002,0.2
586.198168848,308.790067655,58.6198168848,0.0005,2.50662827463,0.00389716428882,0.0501325654926,70.3437802618,0.118,0.00186982292777,11.723963377,0.5,0.0002,0.2
935.141991598,2920.51867514,93.5141991598,0.0005,2.50662827463,0.00637980549564,0.0501325654926,112.217038992,0.117,0.00421172825929,18.702839832,0.5,0.0002,0.2
454.443823483,5118.05214251,45.4443823483,0.0005,2.50662827463,0.00292969477778,0.0501325654926,54.533258818,0.117,0.00421172825929,9.08887646966,0.5,0.0002,0.2
183.670324311,2082.31825932,18.3670324311,0.0005,2.50662827463,0.00101835788077,0.0501325654926,22.0404389173,0.119,0.00046693842483,3.67340648622,0.5,0.0002,0.2
562.326977251,73.4471705966,56.2326977251,0.0005,2.50662827463,0.00305450147045,0.0501325654926,67.4792372702,0.117,0.00421172825929,11.246539545,0.5,0.0002,0.2
197.663752798,7065.13165637,19.7663752798,0.0005,2.50662827463,0.00110440530729,0.0501325654926,23.7196503357,0.119,0.00046693842483,3.95327505596,0.5,0.0002,0.2
455.468929005,546.133303491,45.5468929005,0.0005,2.50662827463,0.00288011686034,0.0501325654926,54.6562714806,0.12,0.0,9.1093785801,0.5,0.0002,0.2
362.327507193,1990.13921859,36.2327507193,0.0005,2.50662827463,0.00217698239046,0.0501325654926,43.4793008631,0.123,0.00418353638979,7.24655014385,0.5,0.0002,0.2
567.730155474,214.828742616,56.7730155474,0.0005,2.50662827463,0.00368641304172,0.0501325654926,68.1276186569,0.122,0.00186146944398,11.3546031095,0.5,0.0002,0.2
